Email,Address,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
garciakevin@gmail.com,"845 Colleen WaysLake Matthewview, VT 65340-3159",33.45961932,12.66439052,36.36684325,1.726962043,436.5807403
philliproberson@yahoo.com,Unit 0373 Box 8981DPO AA 89902,34.20053941,12.66780888,37.48704925,3.701622287,553.9946736
kstafford@estes-nguyen.com,"PSC 4856, Box 1297APO AA 17032-7944",31.1695068,13.97018107,36.67395274,1.785173945,427.3565308
kennethperry@bowen.org,"272 Frederick LodgeEast Andrew, FL 07414",32.51819681,11.50925345,36.59928909,3.02267576,424.7287739
prussell@lopez.com,"9985 Wolf PassBrandimouth, CA 63346",34.52301962,11.40577045,36.37827101,4.041244969,541.049831
mosleyjacob@yahoo.com,"PSC 1790, Box 8872APO AE 01821-4769",33.66599032,12.26371768,38.86023443,3.139526935,469.3831462
rhaas@yahoo.com,"4502 Jennifer Prairie Suite 029Lake Jesse, LA 02328-3633",31.60983957,12.7107013,36.16646339,2.562818811,444.5455497
antonioharris@hotmail.com,"4307 Nicholas Drive Apt. 259Ramirezberg, AS 59832",33.70088554,13.47157767,37.0716432,2.379076497,492.5568337
austinthomas@gmail.com,"5855 Gross Burgs Suite 169Ballland, AS 98525",33.81173341,11.18680872,36.29889308,4.301996499,535.3216101
bethsullivan@reed.net,"80500 Mary Corners Apt. 225Wallsville, ME 80526",34.33667722,11.24681261,38.68258378,2.094761669,408.9583359
ncummings@yahoo.com,"344 Jessica StravenueNew Brian, MA 04730-6761",31.06132516,12.35763811,36.16604163,4.089330841,487.5554581
hking@hotmail.com,"85181 Christian Courts Suite 758Larryfurt, MS 38722-6766",33.0697683,11.76432596,36.87502581,3.516051017,487.6462317
annstone@hotmail.com,"543 Reynolds BurgMelindaberg, KY 46631",34.60624245,11.7618838,38.1265198,1.820810618,402.1671222
christopher44@hotmail.com,"549 Anna AvenuePort Laura, CA 76209-9339",34.23824191,11.55030011,35.76932963,4.183143662,551.0230017
autumn88@mendoza-mills.com,"214 Obrien Lakes Suite 572South Jeremy, KS 52867-7617",32.04781463,12.48266992,35.53602453,3.393902788,497.3895578
dhudson@ramos.net,"5661 Grant CentersStevensfurt, CT 53959",30.97167564,11.73136429,36.07455114,4.426364081,494.6386098
egomez@hotmail.com,"768 Riley Pine Apt. 624Kellymouth, OK 98992-3108",33.60685082,12.21407375,37.19842782,2.905238361,479.2474168
kimberlyruiz@smith-gordon.com,"503 Adams Pines Apt. 638North Ashleyside, AZ 34687-6128",33.44812501,11.90375668,36.8745436,2.782757828,462.6565189
mooremichelle@logan.com,"07813 Randy PointLake Thomasberg, MO 06013-9920",33.36938094,12.22248394,36.35523488,3.447017793,515.5024797
aaron22@gmail.com,"38678 Sean Drive Suite 293Karentown, IA 78306-2717",33.45229528,12.00591637,36.53409567,4.712233579,576.4776072
michelleshepherd@price.com,"6820 Erica Vista Apt. 418Brightside, IA 50639",32.90469244,11.91374515,36.0586476,1.228112423,357.8579836
zscott@wright.com,"9909 Hoffman Ranch Suite 195Scotthaven, SC 53575",35.63085386,12.12540197,38.18776368,4.019051427,597.7398789
tracy79@wheeler.net,"513 Moore Crescent Apt. 416Amandaberg, GU 03655-2219",32.24635,11.30555143,37.13312676,1.707389729,327.3779526
brian28@sanchez.org,"7446 Mary FerryLake Sherryfurt, GA 49066-0207",34.69559119,11.60899707,37.68487728,3.163091931,510.4013885
leonardhancock@hotmail.com,"64147 Alexander Station Apt. 474East Jasonview, MN 83788",34.34392191,11.6930582,36.81293413,3.447092896,510.5014785
davidsonkathleen@gmail.com,"70128 Zimmerman OverpassRobertsshire, VA 59860",33.68093695,11.20156988,37.83544773,2.208813678,403.8195198
nathan84@lowery.net,"01242 Stephanie Ways Suite 003Churchville, MO 35617",32.0609144,12.62543264,35.53914243,5.41235784,627.6033187
kellydeborah@chan.biz,"354 Sanchez Wall Suite 884Juliabury, VI 39735",33.4310971,13.35063168,37.96597162,2.768851943,510.6617922
lewisjessica@craig-evans.com,"4483 Jones Motorway Suite 872Lake Jamiefurt, UT 75292",33.23765998,13.56615961,36.4179848,3.746572973,573.8474377
katrina56@gmail.com,"172 Owen Divide Suite 497West Richard, CA 19320",34.70252897,11.69573629,37.19026771,3.576525915,529.0490041
dale88@hotmail.com,"0787 Andrews Ranch Apt. 633South Chadburgh, TN 56128",32.64677668,11.49940906,38.33257633,4.958264473,551.6201455
cwilson@hotmail.com,"680 Jennifer Lodge Apt. 808Brendachester, TX 05000-5873",33.32250105,12.39142299,36.84008573,2.336484668,456.4695101
hannahwilson@davidson.com,"49791 Rachel Heights Apt. 898East Drewborough, OR 55919-9528",33.71598092,12.41880832,35.77101619,2.735159567,497.7786422
